site,week,flyers_distributed,persons_registered,latinos_registered,persons_attending,latinos_attending,persons_referred_to_ahead,latinos_referred_to_ahead
Tatiana Colunga (Irvine),2022-04-03,0,0,0,0,0,0,0
Gillian Peraza (Miami),2022-03-27,0,0,0,0,0,0,0
Martin Palacio (Fort Worth),2022-03-27,0,0,0,0,0,0,0
Scarlet Mendez (San Antonio),2022-03-27,142,2,2,1,1,1,1
Svetlana Santos (Boston),2022-03-27,0,20,19,20,19,0,0
Tatiana Colunga (Irvine),2022-03-27,0,0,0,0,0,0,0
Gillian Peraza (Miami),2022-03-20,54,35,0,10,0,0,0
Scarlet Mendez (San Antonio),2022-03-20,0,0,0,0,0,0,0
Tatiana Colunga (Irvine),2022-03-20,0,0,0,0,0,0,0
Gillian Peraza (Miami),2022-03-13,0,0,0,0,0,0,0
Scarlet Mendez (San Antonio),2022-03-13,96,3,2,1,1,0,0
Gillian Peraza (Miami),2022-03-06,0,0,0,0,0,0,0
Scarlet Mendez (San Antonio),2022-03-06,0,0,0,0,0,0,0
Scarlet Mendez (San Antonio),2022-02-27,0,0,0,0,0,0,0
